Voter_ID,First_Name,Last_Name,DOB,Gender,Address,Pincode,Registration_Year,Last_Voted_Year,Masked_Aadhaar
TNUPO7737962,Samuel,Yohannan,02-05-1944,Female,"58, Desai Chowk, Ville Saxena Nagar, Amroha, Punjab",154970,2012,2014,XXXX-XXXX-6548
WBYPS2218074,Jai,Sen,06-11-1994,Female,"429, Ganesh Street, Ville Hans Nagar, Kalyan-Dombivli, Maharashtra",587853,2025,Never Voted,XXXX-XXXX-9133
TNGTS0712984,Fitan,Kadakia,06-07-2003,Female,"564, Gopal Marg, Ville Goda Nagar, Deoghar, West Bengal",569852,2025,Never Voted,XXXX-XXXX-3571
APKMS5598521,Ekalinga,Dass,29-03-1980,Female,"394, Narayan Marg, Ville Mander Nagar, Hosur, Punjab",774152,2016,2024,XXXX-XXXX-9072
UPDGP1216700,Hema,Prasad,14-12-1947,Female,"459, Krishnamurthy Road, Ville Viswanathan Nagar, Jaunpur, Odisha",356220,2005,2014,XXXX-XXXX-5409
TNDFE8583780,Kamala,Sani,01-11-1964,Male,"749, Nagy Street, Ville Ravi Nagar, Secunderabad, Nagaland",510745,2018,2019,XXXX-XXXX-5202
PBPME5862629,Rajeshri,Ghosh,06-12-1945,Male,"525, Radhakrishnan, Ville Dugar Nagar, Bijapur, West Bengal",232980,1977,2014,XXXX-XXXX-5396
UPYZK9667595,Karan,Dara,09-06-1957,Female,"209, Thakkar Street, Ville Sampath Nagar, Guna, Kerala",873732,1993,2004,XXXX-XXXX-5892
WBBCU0461510,Neha,Cheema,13-06-1990,Female,"945, Golla Street, Ville Dara Nagar, Amroha, Chhattisgarh",433887,2019,2019,XXXX-XXXX-8658
KADOJ3017069,Ganga,Bajaj,11-03-1974,Female,"739, Mann Ganj, Ville Ramakrishnan Nagar, Jabalpur, West Bengal",296105,1993,1999,XXXX-XXXX-2304
KLMVW3407596,Yashvi,Hegde,16-01-1969,Male,"181, Khare Marg, Ville Jayaraman Nagar, Bangalore, Goa",733935,2022,2024,XXXX-XXXX-7356
KLPRA8740314,Yagnesh,Sastry,13-06-1960,Male,"257, Saran Chowk, Ville Chandran Nagar, Faridabad, Tamil Nadu",884270,2023,2024,XXXX-XXXX-3324
KLDOP3194887,Gautam,Dutt,02-03-1995,Female,"648, Bedi Zila, Ville Buch Nagar, Bidhannagar, Chhattisgarh",764889,2018,Never Voted,XXXX-XXXX-6888
GJNKJ7257975,Mahika,Guha,02-10-1971,Male,"937, Mohanty Ganj, Ville Gour Nagar, Unnao, Mizoram",121037,2015,2024,XXXX-XXXX-3303
UPBZI4474567,Ayaan,Kanda,13-04-1991,Male,"616, Char Street, Ville Ganesan Nagar, Pondicherry, Nagaland",408096,2011,Never Voted,XXXX-XXXX-2022
UPSET1157734,Mason,Bhargava,28-10-1968,Male,"534, Nigam Chowk, Ville Bahl Nagar, Yamunanagar, Himachal Pradesh",362977,2015,Never Voted,XXXX-XXXX-3856
WBSJD1780467,Aarnav,Bose,15-03-1984,Male,"129, Saini Road, Ville Deep Nagar, Tiruvottiyur, Tamil Nadu",798606,2020,Never Voted,XXXX-XXXX-9430
PBEVP9244581,Netra,Kohli,08-09-1979,Other,"840, Mital Street, Ville Issac Nagar, Bangalore, Nagaland",524284,2007,2019,XXXX-XXXX-5940
DLKXD6493902,Leela,Bhattacharyya,16-01-1971,Male,"504, Sarin Zila, Ville Dalal Nagar, Medininagar, Uttar Pradesh",858875,1996,2014,XXXX-XXXX-1616
GJGDU8245023,Falak,Varty,05-03-1990,Female,"629, Panchal Chowk, Ville Sharma Nagar, Amroha, Uttar Pradesh",188072,2019,2024,XXXX-XXXX-1400
GJNMA7315628,Bakhshi,Bose,15-10-1996,Male,"331, Tiwari Zila, Ville Narang Nagar, Bareilly, Manipur",794699,2014,2014,XXXX-XXXX-6363
GJQWM8308791,Chandran,Bora,15-09-1902,Male,"339, Toor Street, Ville Lanka Nagar, Tadipatri, Goa",155907,1978,1999,XXXX-XXXX-1089
UPFCK6382559,Nandini,Rege,17-10-1965,Female,"902, Dayal, Ville Peri Nagar, Dindigul, Assam",736968,2010,2014,XXXX-XXXX-0394
DLVNA3167357,Wazir,Golla,07-10-1988,Female,"96, Devi Ganj, Ville Sankar Nagar, Mathura, Madhya Pradesh",160791,2006,2014,XXXX-XXXX-9129
RJKGG4533446,Caleb,Babu,12-04-1942,Female,"973, Savant Marg, Ville Master Nagar, Mumbai, Punjab",234037,1980,2009,XXXX-XXXX-9873
KLDCT8864691,Charles,Jain,25-04-1952,Female,"799, Khalsa Ganj, Ville Trivedi Nagar, Raipur, Himachal Pradesh",518328,1973,2019,XXXX-XXXX-4501
APDXU1889142,Eshana,Bail,08-05-1973,Male,"234, Kadakia Chowk, Ville Dugal Nagar, Srinagar, Rajasthan",561149,1999,1999,XXXX-XXXX-8371
PBHNS0117716,Januja,Pradhan,04-05-1936,Female,"953, Ram Road, Ville Nigam Nagar, Thanjavur, Assam",728137,1997,1999,XXXX-XXXX-0661
BRNPB0943846,Quincy,Balakrishnan,29-05-1974,Male,"133, Gopal Path, Ville Dubey Nagar, Bulandshahr, Goa",683155,2023,2024,XXXX-XXXX-3796
ORTUA4359816,Odika,Khare,11-03-1961,Male,"236, Kohli, Ville Subramaniam Nagar, Amritsar, Karnataka",253678,1999,2019,XXXX-XXXX-0187
MPTWQ4706811,Lopa,Puri,25-03-1978,Female,"664, Ramakrishnan, Ville Kuruvilla Nagar, Adoni, Uttarakhand",670304,2008,Never Voted,XXXX-XXXX-1531
TNTTV5194284,Vidhi,Issac,15-01-1938,Male,"180, Kale Nagar, Ville Din Nagar, Gudivada, Uttar Pradesh",560066,2023,Never Voted,XXXX-XXXX-6961
PBDLI1410264,Tanveer,Sarkar,24-01-1968,Female,"466, Grewal Road, Ville Thaker Nagar, Mahbubnagar, Madhya Pradesh",610998,2007,2009,XXXX-XXXX-9950
TNYFY2937001,Kamala,Om,18-03-1947,Male,"139, Handa Chowk, Ville Vasa Nagar, Siliguri, Himachal Pradesh",156623,1994,2019,XXXX-XXXX-1303
DLHEQ4526357,Warhi,Samra,29-11-1968,Female,"873, Barman Road, Ville Srivastava Nagar, Bhagalpur, Nagaland",715927,2017,2019,XXXX-XXXX-7427
WBIGX8588016,Manya,Hayre,12-10-1957,Female,"632, Sahota Circle, Ville Banik Nagar, Bangalore, Mizoram",820143,1986,2019,XXXX-XXXX-2250
DLIJM7833514,Kevin,Narayanan,12-05-1983,Other,"506, Sangha Road, Ville Sarraf Nagar, Patiala, Punjab",663833,2011,2024,XXXX-XXXX-0622
MHMEO1804676,Dipta,Suresh,17-07-1949,Male,"953, Dutta Nagar, Ville Halder Nagar, Muzaffarpur, Mizoram",114683,1978,2019,XXXX-XXXX-5222
KACBI1189839,Yashoda,Mahajan,06-04-1963,Female,"297, Kala, Ville Vora Nagar, Erode, Assam",606653,1988,2019,XXXX-XXXX-3562
DLJDX4864892,Unni,Sibal,12-03-1972,Male,"204, Jani Ganj, Ville Sachdeva Nagar, Sikar, Madhya Pradesh",636373,2017,2024,XXXX-XXXX-0787
GJHLV7775701,Sneha,Pai,04-11-1900,Male,"594, Kalla Nagar, Ville Pai Nagar, Naihati, Gujarat",609139,2003,2004,XXXX-XXXX-2160
ORGAO3997609,Yash,Sehgal,28-11-2002,Male,"619, Char Zila, Ville Nadkarni Nagar, Mahbubnagar, Nagaland",351957,2022,2024,XXXX-XXXX-6514
WBDUU0332509,Karan,Rama,19-06-1985,Male,"987, Raval Ganj, Ville Pillai Nagar, Chandigarh, Mizoram",123273,2014,2014,XXXX-XXXX-7605
RJIDB0543785,Ganga,Chand,19-01-1948,Female,"488, Barman Marg, Ville Madan Nagar, Udaipur, Bihar",730868,1996,2019,XXXX-XXXX-1034
KASCB3814560,Pallavi,Gokhale,07-12-2007,Male,"931, Acharya Path, Ville Sanghvi Nagar, Gaya, Andhra Pradesh",365621,2026,Never Voted,XXXX-XXXX-7900
ORRGN0620405,Gaurang,Pathak,12-10-1989,Male,"455, Maharaj Circle, Ville Ravel Nagar, Phusro, Bihar",465959,2007,2009,XXXX-XXXX-9789
WBLPB3285920,Qarin,Sahota,23-03-1948,Male,"214, Mann Path, Ville Chopra Nagar, Thanjavur, Punjab",302724,1976,1999,XXXX-XXXX-5099
APVIN1915917,Diya,Uppal,21-05-1941,Male,"754, Natt Road, Ville Dhar Nagar, Aligarh, Rajasthan",653953,2009,2024,XXXX-XXXX-8337
RJZYV6993693,Michael,Lall,18-08-2003,Female,"828, Bansal Circle, Ville Mitra Nagar, Munger, Nagaland",151429,2024,2024,XXXX-XXXX-7255
BRGMZ6431909,Azad,Doctor,10-02-1950,Male,"36, Sami Circle, Ville Borde Nagar, Guna, Haryana",428315,2019,2019,XXXX-XXXX-2300
MPURZ3221276,Gabriel,Naarain,28-07-1990,Male,"649, Khatri Chowk, Ville Ahuja Nagar, Bulandshahr, Bihar",438076,2010,2019,XXXX-XXXX-0769
HRYKS5247597,Nidra,Bansal,24-02-1971,Male,"954, Virk, Ville Kale Nagar, Dehradun, Maharashtra",813580,1993,2009,XXXX-XXXX-1331
